Date,Price,Open,High,Low,Change %
5/13/2013,78.07,77.85,78.1,77.82,0.00%
5/14/2013,78.02,77.82,78.1,77.77,-0.06%
5/15/2013,78.02,77.77,78.07,77.77,0.00%
5/16/2013,78.02,77.77,78.05,77.75,0.00%
5/17/2013,78,77.77,78.02,77.75,-0.03%
5/20/2013,78.02,77.75,78.05,77.75,0.03%
5/21/2013,78.01,77.77,78.1,77.76,-0.01%
5/22/2013,77.99,77.76,78.05,77.74,-0.03%
5/23/2013,77.97,77.74,77.99,77.72,-0.03%
5/24/2013,77.93,77.72,77.97,77.68,-0.05%
5/27/2013,78.02,77.68,78.03,77.68,0.12%
5/28/2013,78,77.77,78.03,77.75,-0.03%
5/29/2013,78,77.75,78.01,77.75,0.00%
5/30/2013,78,77.73,78,77.73,0.00%
5/31/2013,77.97,77.75,78,77.72,-0.04%
6/3/2013,77.97,77.72,78,77.72,0.00%
6/4/2013,77.97,77.72,78,77.72,0.00%
6/5/2013,77.97,77.72,78,77.72,0.00%
6/6/2013,78,77.72,78,77.72,0.04%
6/7/2013,77.98,77.75,78,77.73,-0.03%
6/10/2013,77.97,77.75,78,77.72,-0.01%
6/11/2013,77.99,77.72,78,77.72,0.03%
6/12/2013,78,77.74,78,77.74,0.01%
6/13/2013,77.98,77.75,78,77.73,-0.03%
6/14/2013,77.97,77.73,77.98,77.72,-0.01%
6/17/2013,77.97,77.72,78,77.7,0.00%
6/18/2013,77.98,77.72,78,77.7,0.01%
6/19/2013,77.98,77.73,78,77.73,0.00%
6/20/2013,77.97,77.73,78.01,77.72,-0.01%
6/21/2013,77.95,77.72,77.97,77.7,-0.03%
6/24/2013,77.9,77.7,78.01,77.65,-0.06%
6/25/2013,77.85,77.65,77.9,77.6,-0.06%
6/26/2013,77.83,77.6,78.01,77.58,-0.03%
6/27/2013,77.97,77.58,78.02,77.58,0.18%
6/28/2013,77.95,77.72,77.97,77.7,-0.03%
7/1/2013,77.98,77.7,78,77.7,0.04%
7/2/2013,78,77.73,78.01,77.73,0.03%
7/3/2013,77.99,77.75,78.01,77.74,-0.01%
7/4/2013,77.77,77.74,77.77,77.74,-0.28%
7/5/2013,78,77.75,78,77.75,0.30%
7/8/2013,77.98,77.75,78,77.73,-0.03%
7/9/2013,77.99,77.73,78,77.73,0.01%
7/10/2013,77.97,77.74,78.03,77.7,-0.03%
7/11/2013,77.95,77.72,77.97,77.7,-0.03%
7/12/2013,77.95,77.7,77.95,77.7,0.00%
7/15/2013,77.97,77.7,78,77.7,0.03%
7/16/2013,77.95,77.72,78,77.7,-0.03%
7/17/2013,77.93,77.7,78,77.68,-0.03%
7/18/2013,77.92,77.75,78,77.67,-0.01%
7/19/2013,77.9,77.67,77.92,77.65,-0.03%
7/22/2013,77.98,77.65,78,77.65,0.10%
7/23/2013,77.76,77.73,77.76,77.73,-0.28%
7/24/2013,77.95,77.73,78,77.7,0.24%
7/25/2013,77.97,77.7,78,77.7,0.03%
7/26/2013,77.95,77.72,77.97,77.7,-0.03%
7/29/2013,77.9,77.7,78,77.65,-0.06%
7/30/2013,77.97,77.65,78,77.65,0.09%
7/31/2013,77.95,77.72,77.97,77.7,-0.03%
8/1/2013,77.92,77.7,78,77.67,-0.04%
8/2/2013,77.9,77.67,77.92,77.65,-0.03%
8/5/2013,77.97,77.75,78,77.65,0.09%
8/6/2013,77.95,77.72,77.97,77.7,-0.03%
8/7/2013,77.97,77.7,78,77.7,0.03%
8/8/2013,77.95,77.72,77.97,77.7,-0.03%
8/9/2013,77.93,77.7,77.95,77.68,-0.03%
8/12/2013,77.97,77.68,78,77.68,0.05%
8/13/2013,77.95,77.72,78,77.7,-0.03%
8/14/2013,77.97,77.7,78,77.7,0.03%
8/15/2013,77.95,77.72,77.97,77.7,-0.03%
8/16/2013,77.95,77.7,77.95,77.7,0.00%
8/19/2013,77.93,77.7,77.95,77.68,-0.03%
8/20/2013,77.15,77.68,77.93,76.9,-1.00%
8/21/2013,76.98,77.75,78,76.73,-0.22%
8/22/2013,76.85,77.75,78,76.6,-0.17%
8/23/2013,76.85,77.6,77.98,76.6,0.00%
8/26/2013,77.15,77.6,78,76.9,0.39%
8/27/2013,77.47,77.61,78,76.9,0.41%
8/28/2013,77.47,77.72,77.97,77.11,0.00%
8/29/2013,77.47,77.61,77.97,77.11,0.00%
8/30/2013,77.47,77.72,77.97,77.11,0.00%
9/2/2013,77.97,77.6,78,77.09,0.65%
9/3/2013,77.47,77.59,78,77.22,-0.64%
9/4/2013,77.47,77.72,77.97,77.1,0.00%
9/5/2013,77.47,77.72,78,77.22,0.00%
9/6/2013,77.1,77.72,77.97,76.85,-0.48%
9/9/2013,77.1,77.59,78,76.85,0.00%
9/10/2013,77.47,77.59,77.97,77.09,0.48%
9/11/2013,77.47,77.72,78,77.09,0.00%
9/12/2013,77.47,77.72,77.97,77.06,0.00%
9/13/2013,77.47,77.56,77.97,77.22,0.00%
9/16/2013,77.47,77.6,78,77.22,0.00%
9/17/2013,77.47,77.72,77.97,77.1,0.00%
9/18/2013,77.47,77.72,77.97,77.06,0.00%
9/19/2013,77.47,77.72,77.97,77.07,0.00%
9/20/2013,77.47,77.57,77.97,77.22,0.00%
9/23/2013,77.47,77.58,77.99,77.22,0.00%
9/24/2013,77.47,77.58,77.97,77.22,0.00%
9/25/2013,77.47,77.72,77.97,77.22,0.00%
9/26/2013,77.97,77.72,78.1,77.07,0.65%
9/27/2013,77.47,77.57,77.97,77.07,-0.64%
9/30/2013,77.47,77.57,77.97,77.06,0.00%
10/1/2013,77.97,77.56,77.97,77.05,0.65%
10/2/2013,77.97,77.72,77.97,77.04,0.00%
10/3/2013,77.49,77.72,77.99,77.05,-0.62%
10/4/2013,77.47,77.55,77.99,77.22,-0.03%
10/7/2013,77.47,77.55,77.97,77.22,0.00%
10/8/2013,77.47,77.55,77.97,77.22,0.00%
10/9/2013,77.47,77.72,78,77.18,0.00%
10/10/2013,77.47,77.72,77.97,77.22,0.00%
10/11/2013,77.97,77.72,77.97,77.03,0.65%
10/14/2013,77.97,77.72,77.97,77.54,0.00%
10/15/2013,77.97,77.72,77.97,77.54,0.00%
10/16/2013,77.97,77.72,77.97,77.54,0.00%
10/17/2013,77.97,77.72,77.97,77.54,0.00%
10/18/2013,77.97,77.54,77.97,77.54,0.00%
10/21/2013,77.47,77.54,77.97,77.03,-0.64%
10/22/2013,77.47,77.53,77.97,77.04,0.00%
10/23/2013,77.9,77.72,77.97,77.15,0.56%
10/24/2013,77.82,77.65,78,77.56,-0.10%
10/25/2013,77.82,77.57,77.82,77.57,0.00%
10/28/2013,77.32,77.57,77.95,77.07,-0.64%
10/29/2013,77.32,77.57,77.95,77.06,0.00%
10/30/2013,77.32,77.57,77.96,77.04,0.00%
10/31/2013,77.32,77.57,78,77.06,0.00%
11/1/2013,77.32,77.56,77.82,77.06,0.00%
11/4/2013,77.8,77.57,77.96,77.07,0.62%
11/5/2013,77.78,77.57,77.96,77.53,-0.03%
11/6/2013,77.83,77.53,78,77.53,0.06%
11/7/2013,77.83,77.6,77.95,77.56,0.00%
11/8/2013,77.8,77.57,77.83,77.55,-0.04%
11/11/2013,77.8,77.56,78,77.54,0.00%
11/12/2013,77.8,77.55,77.95,77.55,0.00%
11/13/2013,77.83,77.55,78,77.54,0.04%
11/14/2013,77.83,77.58,77.95,77.54,0.00%
11/15/2013,77.78,77.58,77.83,77.53,-0.06%
11/18/2013,77.78,77.54,78,77.1,0.00%
11/19/2013,77.75,77.53,77.97,77.5,-0.04%
11/20/2013,77.77,77.5,77.96,77.5,0.03%
11/21/2013,77.79,77.52,78,77.52,0.03%
11/22/2013,77.8,77.56,77.81,77.54,0.01%
11/25/2013,77.8,77.55,77.95,77.55,0.00%
11/26/2013,77.8,77.55,77.97,77.55,0.00%
11/27/2013,77.8,77.55,77.95,77.55,0.00%
11/28/2013,77.8,77.55,77.95,77.55,0.00%
11/29/2013,77.8,77.55,77.82,77.55,0.00%
12/2/2013,77.78,77.57,77.96,77.53,-0.03%
12/3/2013,77.77,77.56,77.96,77.52,-0.01%
12/4/2013,77.82,77.52,78,77.52,0.06%
12/5/2013,77.77,77.57,77.98,77.52,-0.06%
12/6/2013,77.77,77.54,77.79,77.52,0.00%
12/9/2013,77.82,77.52,77.98,77.52,0.06%
12/10/2013,77.8,77.57,77.98,77.54,-0.03%
12/11/2013,77.79,77.55,77.99,77.54,-0.01%
12/12/2013,77.8,77.54,77.96,77.54,0.01%
12/13/2013,77.79,77.55,77.82,77.54,-0.01%
12/16/2013,77.75,77.54,77.8,77.5,-0.05%
12/17/2013,77.77,77.5,77.8,77.5,0.03%
12/18/2013,77.78,77.52,77.95,77.52,0.01%
12/19/2013,77.77,77.53,77.97,77.52,-0.01%
12/20/2013,77.8,77.52,77.96,77.52,0.04%
12/23/2013,77.78,77.55,77.95,77.2,-0.03%
12/24/2013,77.43,77.53,77.95,77.18,-0.45%
12/25/2013,77.43,77.18,77.82,77.18,0.00%
12/26/2013,77.4,77.72,77.97,77.15,-0.04%
12/27/2013,77.35,77.15,77.82,77.1,-0.06%
12/30/2013,77.43,77.1,77.96,77.1,0.10%
12/31/2013,77.41,77.18,77.81,77.16,-0.03%
1/1/2014,77.41,77.16,77.95,77.16,0.00%
1/2/2014,77.4,77.16,77.96,77.15,-0.01%
1/3/2014,77.37,77.15,77.95,77.12,-0.04%
1/6/2014,77.8,77.12,77.95,77.12,0.56%
1/7/2014,77.42,77.55,77.95,77.17,-0.49%
1/8/2014,77.95,77.17,77.96,77.17,0.68%
1/9/2014,77.95,77.7,77.96,77.2,0.00%
1/10/2014,77.95,77.7,77.95,77.57,0.00%
1/13/2014,77.42,77.18,77.95,77.17,-0.68%
1/14/2014,77.78,77.17,77.81,77.17,0.46%
1/15/2014,77.86,77.53,77.95,77.2,0.10%
1/16/2014,77.4,77.61,77.94,77.15,-0.59%
1/17/2014,77.78,77.15,77.81,77.15,0.49%
1/20/2014,77.44,77.53,77.95,77.19,-0.44%
1/21/2014,77.4,77.19,77.97,77.15,-0.05%
1/22/2014,77.43,77.15,77.95,77.15,0.04%
1/23/2014,77.77,77.17,77.94,77.17,0.44%
1/24/2014,77.73,77.52,77.79,77.48,-0.05%
1/27/2014,77.43,77.48,77.9,77.18,-0.39%
1/28/2014,77.75,77.18,77.94,77.15,0.41%
1/29/2014,77.77,77.5,77.94,77.2,0.03%
1/30/2014,77.78,77.52,77.95,77.52,0.01%
1/31/2014,77.77,77.53,77.82,77.52,-0.01%
2/3/2014,77.79,77.56,77.94,77.52,0.03%
2/4/2014,77.77,77.54,77.94,77.52,-0.03%
2/5/2014,77.75,77.52,77.9,77.5,-0.03%
2/6/2014,77.75,77.5,77.94,77.5,0.00%
2/7/2014,77.77,77.5,77.79,77.48,0.03%
2/10/2014,77.77,77.52,77.95,77.52,0.00%
2/11/2014,77.42,77.52,77.95,77.17,-0.45%
2/12/2014,77.85,77.17,77.93,77.17,0.56%
2/13/2014,77.42,77.6,77.91,77.17,-0.55%
2/14/2014,77.75,77.17,77.77,77.17,0.43%
2/17/2014,77.75,77.5,77.91,77.5,0.00%
2/18/2014,77.8,77.5,77.95,77.5,0.06%
2/19/2014,77.82,77.55,78,77.51,0.03%
2/20/2014,77.73,77.57,77.85,77.48,-0.12%
2/21/2014,77.71,77.48,77.73,77.46,-0.03%
2/24/2014,77.7,77.46,77.71,77.45,-0.01%
2/25/2014,77.68,77.45,77.94,77.43,-0.03%
2/26/2014,77.67,77.43,77.68,77.42,-0.01%
2/27/2014,77.62,77.42,77.94,77.37,-0.06%
2/28/2014,77.62,77.37,77.62,77.37,0.00%
3/3/2014,77.58,77.37,77.62,77.33,-0.05%
3/4/2014,77.97,77.33,77.98,77.33,0.50%
3/5/2014,77.9,77.72,77.98,77.65,-0.09%
3/6/2014,77.88,77.65,77.98,77.63,-0.03%
3/7/2014,77.87,77.63,77.88,77.62,-0.01%
3/10/2014,77.82,77.6,77.85,77.57,-0.06%
3/11/2014,77.8,77.57,77.82,77.55,-0.03%
3/12/2014,77.75,77.55,77.8,77.5,-0.06%
3/13/2014,77.72,77.5,77.75,77.47,-0.04%
3/14/2014,77.68,77.47,77.72,77.43,-0.05%
3/17/2014,77.65,77.43,77.68,77.4,-0.04%
3/18/2014,77.87,77.4,77.9,77.4,0.28%
3/19/2014,77.87,77.62,77.9,77.62,0.00%
3/20/2014,77.83,77.62,77.88,77.58,-0.05%
3/21/2014,77.78,77.58,77.83,77.53,-0.06%
3/24/2014,77.7,77.53,77.78,77.45,-0.10%
3/25/2014,77.72,77.45,77.75,77.45,0.03%
3/26/2014,77.68,77.47,77.72,77.43,-0.05%
3/27/2014,77.65,77.43,77.75,77.4,-0.04%
3/28/2014,77.62,77.4,77.65,77.37,-0.04%
3/31/2014,77.79,77.37,77.8,77.37,0.22%
4/1/2014,77.77,77.54,77.79,77.52,-0.03%
4/2/2014,77.77,77.52,77.8,77.52,0.00%
4/3/2014,77.73,77.52,77.77,77.48,-0.05%
4/4/2014,77.72,77.48,77.73,77.47,-0.01%
4/7/2014,77.68,77.47,77.72,77.43,-0.05%
4/8/2014,77.77,77.43,77.8,77.43,0.12%
4/9/2014,77.77,77.52,77.8,77.52,0.00%
4/10/2014,77.75,77.52,78,77.5,-0.03%
4/11/2014,77.72,77.5,77.75,77.47,-0.04%
4/14/2014,77.7,77.47,77.72,77.45,-0.03%
4/15/2014,77.67,77.45,77.7,77.42,-0.04%
4/16/2014,77.65,77.42,77.67,77.4,-0.03%
4/17/2014,77.65,77.4,77.65,77.4,0.00%
4/18/2014,77.65,77.4,77.65,77.4,0.00%
4/21/2014,77.65,77.4,77.83,77.4,0.00%
4/22/2014,77.63,77.4,77.83,77.38,-0.03%
4/23/2014,77.63,77.38,77.63,77.38,0.00%
4/24/2014,77.6,77.38,77.63,77.35,-0.04%
4/25/2014,77.58,77.35,77.6,77.33,-0.03%
4/28/2014,77.55,77.33,77.8,77.3,-0.04%
4/29/2014,77.78,77.3,77.8,77.3,0.30%
4/30/2014,77.78,77.53,77.8,77.53,0.00%
5/1/2014,77.77,77.53,77.78,77.52,-0.01%
5/2/2014,77.75,77.52,77.77,77.5,-0.03%
5/5/2014,77.8,77.5,78.05,77.3,0.06%
5/6/2014,77.77,77.53,77.8,77.4,-0.04%
